Comment,Designator,Footprint,LCSC,Quantity
ACS712ELCTR30AT,U4,SOIC127P600X175-8N,C10681,1
SS36,D2,SMA(DO-214AC),C116712,1
HR911105A,J8,HR911105A,C12074,1
150,R4,R_0603_1608Metric,C126805,1
BAT42,"D4,D5,D7,D8",D_SOD-123,C134396,4
SRD-05VDC-SL-A,"K1,K2",RELAY_SRD-05VDC-SL-A,C140615,2
10uF,C5,C_0805_2012Metric,C15850,1
S10MC,D1,D_SMC_larger_pads,C169472,1
330uF,C8,CP_Elec_10x10.5,C19606,1
1K,"R10,R14,R15,R6,R7",R_0603_1608Metric,C21190,5
270,"R1,R2",R_0603_1608Metric,C22966,2
2K,"R11,R16",R_0603_1608Metric,C22975,2
5.2K,R5,R_0603_1608Metric,C23068,1
470,"R3,R8",R_0603_1608Metric,C23179,2
MAX3221,U3,SOP65P777X199-16N,C26875,1
Conn_01x08_Female,"J10,J11,J16,J19,J5,J6",PinSocket_1x08_P2.54mm_Vertical,C27438,6
1uF,C6,C_0805_2012Metric,C28323,1
Conn_01x10_Female,"J25,J26",PinSocket_1x10_P2.00mm_Vertical,C2925557,2
470uF,C7,CP_Elec_10x10.5,C402578,1
Motor1 GRV,J20,Grove,C403774,1
Conn_01x06_Female,"J1,J17,J2,J4,J9",PinSocket_1x06_P2.54mm_Vertical,C40877,5
USB_B_Micro,J15,USB_Micro-B_Wuerth_614105150721_Vertical,C456007,1
22uF,C4,C_0805_2012Metric,C45783,1
KF142V-5.0-6P,KF1,KF142V-5.08-6P,C475138,1
Conn_01x03_Pin,J14,PinHeader_1x03_P2.54mm_Vertical,C49257,1
C492610,F1,Fuse_Holder_C492610,C492610,1
0.1uF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C2,C3,C9",C_0805_2012Metric,C49678,13
TM171,J21,PinSocket_1x05_P2.54mm_Vertical,C50950,1
Conn_01x10_Female,J18,PinSocket_1x10_P2.54mm_Vertical,C5116489,1
BC847,"Q1,Q2",SOT-23,C57668,2
PC817,"U1,U2",SMD-4_4.6x7.62mm_P2.54mm,C66405,2
XL2596,IC2,TO263-5L,C74190,1
LED,D3,LED_0805_2012Metric,C84256,1
Motor1,J13,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C86504,1
AZ1117,IC1,SOT-223,C92517,1
SMDRI127-330MT,L2,TMPA1265SP-101MN-D,C9400,1
MDD M7,"D11,D12,D6,D9",D_SMA,C95872,4
DT13-12PA,J7,DT1312PA,,1
Teensy_Ethernet,J3,PinHeader_2x03_P2.00mm_Vertical,,1
