Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,106.5,-91.375,90.0,top
C10,0.1uF,C_0805_2012Metric,174.1,-138.3,0.0,top
C11,0.1uF,C_0805_2012Metric,140.64,-57.61,180.0,top
C12,0.1uF,C_0805_2012Metric,72.1,-61.8,180.0,top
C13,0.1uF,C_0805_2012Metric,63.8,-70.3,-90.0,top
C14,0.1uF,C_0805_2012Metric,136.4,-57.64,180.0,top
C15,0.1uF,C_0805_2012Metric,139.44,-70.9,180.0,top
C16,0.1uF,C_0805_2012Metric,145.26,-61.9,0.0,top
C17,0.1uF,C_0805_2012Metric,145.25,-64.62,0.0,top
C18,0.1uF,C_0805_2012Metric,95.68,-31.21,0.0,top
C2,0.1uF,C_0805_2012Metric,163.6,-32.87,90.0,top
C3,0.1uF,C_0805_2012Metric,116.48,-96.36,-90.0,top
C4,22uF,C_0805_2012Metric,103.58,-103.29,180.0,top
C5,10uF,C_0805_2012Metric,105.91,-108.18,180.0,top
C6,1uF,C_0805_2012Metric,133.2,-128.3,-90.0,top
C7,470uF,CP_Elec_10x10.5,140.8,-132.4,-90.0,top
C8,330uF,CP_Elec_10x10.5,131.37,-111.78,0.0,top
C9,0.1uF,C_0805_2012Metric,174.2,-133.7,0.0,top
D1,S10MC,D_SMC_larger_pads,154.1,-135.6,0.0,top
D11,MDD M7,D_SMA,152.51,-32.81,180.0,top
D12,MDD M7,D_SMA,152.87,-39.36,180.0,top
D2,SS36,SMA(DO-214AC),118.1,-122.6,90.0,top
D3,LED,LED_0805_2012Metric,137.1,-122.48125,90.0,top
D4,BAT42,D_SOD-123,144.52,-45.21,-90.0,top
D5,BAT42,D_SOD-123,144.0,-50.61,-90.0,top
D6,MDD M7,D_SMA,133.46,-102.84,0.0,top
D7,BAT42,D_SOD-123,139.63,-52.2,-90.0,top
D8,BAT42,D_SOD-123,140.68,-46.49,-90.0,top
D9,MDD M7,D_SMA,136.54,-88.98,90.0,top
F1,C492610,Fuse_Holder_C492610,151.455,-111.355,180.0,top
IC1,AZ1117,SOT-223,110.13,-103.39,0.0,top
IC2,XL2596,TO263-5L,126.4,-131.1975,-90.0,top
J1,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,102.2,-85.95,180.0,top
J10,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,116.515,-65.655,180.0,top
J11,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,116.515,-42.795,180.0,top
J13,Motor1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,31.72,-108.22,180.0,top
J14,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,151.81,-58.07,0.0,top
J15,USB_B_Micro,USB_Micro-B_Wuerth_614105150721_Vertical,65.1175,-57.83,90.0,top
J16,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,76.66,-60.09,180.0,top
J17,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,76.66,-39.77,180.0,top
J18,Conn_01x10_Female,PinSocket_1x10_P2.54mm_Vertical,28.4,-66.69,180.0,top
